price,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,neworold,parking,Furnished_status,Lift,price_per_unit_area,Status_Ready to Move,Status_Under Construction,type_of_building_Flat,type_of_building_Individual House
18700000.0,1014.0,19.16668,72.94845,2,2,1,1,1,0,1,18441.814595660748,True,False,True,False
21200000.0,1400.0,19.1709035,72.8510933,2,2,2,0,2,1,2,15142.857142857143,True,False,True,False
14900000.0,1350.0,19.263496,72.875621,3,3,5,1,5,0,5,11037.037037037036,True,False,True,False
12800000.0,1545.0,19.28217,72.87654,3,3,4,1,4,0,4,8284.789644012944,True,False,True,False
9600000.0,1055.0,19.265946,72.880409,2,2,4,1,4,0,4,9099.52606635071,True,False,True,False
55000000.0,1866.0,19.114625,72.88469599999999,4,6,1,1,1,0,1,29474.81243301179,True,False,True,False
13799999.999999998,1070.0,19.259015,72.854824,2,2,1,1,1,0,1,12897.196261682242,True,False,True,False
16800000.0,1144.0,19.195988,72.868512,2,2,1,0,1,0,1,14685.314685314685,True,False,True,False
11700000.0,1200.0,19.281902,72.886296,3,3,3,1,3,0,3,9750.0,True,False,True,False
10600000.0,690.0,19.136906,72.930603,2,2,0,1,0,1,0,15362.31884057971,True,False,True,False
30000000.0,1000.0,19.032798767089844,72.89635467529297,3,3,1,1,1,0,1,30000.0,True,False,True,False
30500000.0,950.0,19.03039,72.85475,2,2,0,1,0,1,0,32105.263157894737,True,False,True,False
10400000.0,1024.0,19.263496,72.875621,2,2,3,1,3,1,3,10156.25,True,False,True,False
34000000.0,1019.0,19.053375,72.897061,3,3,0,1,0,0,0,33366.04514229637,True,False,True,False
29000000.0,1377.0,19.140335,72.8647155,3,2,2,0,2,1,2,21060.275962236745,True,False,True,False
25400000.0,1507.0,19.156373,72.93894499999999,3,3,1,1,1,1,1,16854.678168546783,True,False,True,False
13899999.999999998,1200.0,19.040232999999997,72.8601801,2,2,1,1,1,0,1,11583.333333333332,True,False,True,False
9000000.0,1071.0,19.273876,72.880675,2,2,3,1,3,1,3,8403.361344537816,True,False,True,False
17000000.0,1100.0,19.162992477416992,72.83930206298828,2,2,0,0,0,0,0,15454.545454545454,True,False,True,False
27800000.0,1600.0,19.171175,72.94032800000001,3,3,1,1,1,0,1,17375.0,True,False,True,False
17000000.0,1190.0,19.1907193,72.8618457,2,2,0,1,0,0,0,14285.714285714286,True,False,True,False
18000000.0,950.0,19.057437,72.905785,2,2,0,1,0,0,0,18947.36842105263,True,False,True,False
29600000.0,1600.0,19.21104,72.869411,3,2,1,1,1,0,1,18500.0,True,False,True,False
33500000.0,1540.0,19.123709,72.89286700000001,3,3,1,1,1,1,1,21753.246753246753,True,False,True,False
29000000.0,1800.0,19.157602,72.945243,3,3,1,1,1,1,1,16111.111111111111,True,False,True,False
8200000.0,1062.0,19.280103,72.8794099,2,2,4,1,4,0,4,7721.280602636535,True,False,True,False
18100000.0,1200.0,19.12258624,72.86705,2,2,0,1,0,0,0,15083.333333333334,True,False,True,False
29000000.0,894.0,19.031132,72.843476,2,2,0,1,0,1,0,32438.47874720358,True,False,True,False
14400000.0,1050.0,19.040232999999997,72.8601801,2,2,1,1,1,1,1,13714.285714285714,True,False,True,False
7730000.0,1031.0,19.282975,72.87361800000001,2,2,4,1,4,0,4,7497.575169738118,True,False,True,False
8170000.0,974.0,19.2834,72.886291,2,2,4,1,4,1,4,8388.090349075976,True,False,True,False
8300000.0,1013.0,19.2834,72.886291,2,2,4,1,4,0,4,8193.484698914117,True,False,True,False
23500000.0,850.0,19.166970000000003,72.83154,2,2,0,1,0,0,0,27647.058823529413,True,False,True,False
7800000.0,1013.0,19.2834,72.886291,2,2,4,1,4,2,4,7699.901283316881,True,False,True,False
33500000.0,1450.0,19.12419,72.83021,3,3,0,1,0,1,0,23103.44827586207,True,False,True,False
15000000.0,676.0,19.07906913757324,72.90797424316406,2,2,0,1,0,0,0,22189.349112426036,True,False,True,False
8280000.0,974.0,19.2834,72.886291,2,2,4,1,4,0,4,8501.026694045175,True,False,True,False
18400000.0,990.0,19.1590077,72.86927109999999,2,2,0,1,0,0,0,18585.858585858587,True,False,True,False
22500000.0,1000.0,19.043911,72.89877800000001,2,2,0,1,0,1,0,22500.0,True,False,True,False
8460000.0,1045.0,19.285007,72.871962,2,2,4,1,4,0,4,8095.693779904306,True,False,True,False
22100000.0,1330.0,19.220760345458984,72.85809326171875,2,2,2,1,2,0,2,16616.541353383458,True,False,True,False
12600000.0,1100.0,19.263496,72.875621,2,2,4,1,4,1,4,11454.545454545454,True,False,True,False
5580000.0,915.0,19.35926793,72.85687374,2,2,4,1,4,0,4,6098.360655737705,True,False,True,False
23500000.0,1210.0,19.1629924,72.83930190000001,2,3,0,1,0,0,0,19421.487603305784,True,False,True,False
32000000.0,961.0,19.1137131,72.86100970000001,2,3,3,1,3,1,3,33298.64724245577,True,False,True,False
38300000.0,1600.0,19.1629924,72.83930190000001,3,3,0,1,0,0,0,23937.5,True,False,True,False
17500000.0,1050.0,19.1184266,72.8958535,2,2,0,1,0,0,0,16666.666666666668,True,False,True,False
14500000.0,900.0,19.191485,72.83739,2,2,1,0,1,0,1,16111.111111111111,True,False,True,False
20100000.0,1131.0,19.141978,72.812312,2,2,0,1,0,0,0,17771.883289124667,True,False,True,False
7200000.0,850.0,19.280031,72.883798,2,2,3,1,3,1,3,8470.588235294117,True,False,True,False
14400000.0,1000.0,19.1859,72.84037,2,2,0,1,0,0,0,14400.0,True,False,True,False
15100000.0,727.0,19.19038,72.83293,2,2,1,1,1,0,1,20770.28885832187,True,False,True,False
35000000.0,806.0,19.022622,72.858387,2,2,0,1,0,0,0,43424.31761786601,True,False,True,False
46500000.0,1750.0,19.006180342037,72.8286779623475,3,3,0,0,0,0,0,26571.428571428572,True,False,True,False
15000000.0,1500.0,19.204983,72.824373,2,2,4,0,4,0,4,10000.0,True,False,True,False
13600000.000000002,910.0,19.1746739,72.94310379999999,2,2,0,1,0,0,0,14945.054945054948,True,False,True,False
18500000.0,1000.0,19.07907,72.907976,2,2,0,0,0,0,0,18500.0,True,False,True,False
8500000.0,974.0,19.2834,72.886291,2,2,3,1,3,0,3,8726.899383983573,True,False,True,False
25000000.0,800.0,19.05861,72.84431,2,2,2,1,2,0,2,31250.0,True,False,True,False
28000000.0,1513.0,19.110616,72.856052,3,3,1,0,1,0,1,18506.278916060808,True,False,True,False
12000000.0,860.0,19.202279,72.82840999999999,2,2,0,1,0,2,0,13953.488372093023,True,False,True,False
28900000.0,1700.0,19.136807,72.930675,3,3,0,1,0,1,0,17000.0,True,False,True,False
18000000.0,1157.0,19.12998,72.933221,2,2,0,1,0,0,0,15557.476231633535,True,False,True,False
55000000.0,1500.0,19.0815087,72.8376755,3,3,0,1,0,1,0,36666.666666666664,True,False,True,False
21000000.0,1050.0,19.12882804870605,72.8330078125,2,2,0,0,0,0,0,20000.0,True,False,True,False
12600000.0,925.0,19.043911,72.89877800000001,2,2,1,1,1,0,1,13621.621621621622,True,False,True,False
9360000.0,585.0,19.1746739,72.94310379999999,2,2,3,1,3,0,3,16000.0,True,False,True,False
17500000.0,1075.0,19.111397,72.90142800000001,2,2,1,1,1,0,1,16279.06976744186,True,False,True,False
9220000.0,1160.0,19.293649,72.865711,2,2,4,1,4,1,4,7948.275862068966,True,False,True,False
15100000.0,764.0,19.131688,72.840701,2,2,0,1,0,1,0,19764.39790575916,True,False,True,False
18500000.0,667.0,19.118157,72.856716,2,2,1,1,1,1,1,27736.131934032983,True,False,True,False
19500000.0,1030.0,19.123709,72.89286700000001,2,2,3,1,3,0,3,18932.038834951458,True,False,True,False
11900000.0,1060.0,19.202279,72.82840999999999,2,2,0,1,0,2,0,11226.415094339623,True,False,True,False
24400000.0,980.0,19.1746739,72.94310379999999,3,3,0,1,0,0,0,24897.95918367347,True,False,True,False
29000000.0,1670.0,19.1746739,72.94310379999999,3,3,0,0,0,0,0,17365.269461077845,True,False,True,False
